"filename", "language", "Shell Script", "JavaScript", "comment", "blank", "total"
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\production-suite-names.js", "JavaScript", 0, 12, 0, 0, 12
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\production-tests-index.js", "JavaScript", 0, 27, 0, 7, 34
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\2019_v1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\Advanced1_BarsNestComplex.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\Advanced1_PlotBarsCircularNoDeform.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicBars.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicCircular.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicPlot.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicRootArea.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicRootBars.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicRootCircular.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicRootColumns.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicRootLine.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicRootPlot.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\BasicStacks.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\2019_v1\test-cases\temp.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperCollegeGrads\PaperCollegeGrads.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperCollegeGrads\test-cases\Try1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperCollegeGrads\test-cases\Try2.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperCollegeGrads\test-cases\Try3.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperDrugUse\PaperDrugUse.js", "JavaScript", 0, 16, 0, 3, 19
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperDrugUse\test-cases\Try1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperRussiaInvestigation\PaperRussiaInvestigation.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperRussiaInvestigation\test-cases\Try1.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperSuicides\PaperSuicides.js", "JavaScript", 0, 16, 0, 3, 19
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperSuicides\test-cases\Final.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperVisceptionBirths1\PaperVisceptionBirths1.js", "JavaScript", 0, 16, 0, 3, 19
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperVisceptionBirths1\test-cases\Temp.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperVisceptionTheWordsTheySaid\PaperVisceptionTheWordsTheySaid.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Yngve\Documents\Repositories\Visception\Visception\server\test-server\test-files\indexes\production\test-suites\PaperVisceptionTheWordsTheySaid\test-cases\Try1.js", "JavaScript", 0, 1, 0, 0, 1
